Timestamp,Open,High,Low,Close,Volume
2024-12-20 19:55:00,192.74,192.81,192.7,192.74,2307
2024-12-20 19:50:00,192.75,192.77,192.7001,192.75,2695
2024-12-20 19:45:00,192.75,192.75,192.7,192.7,1011
2024-12-20 19:40:00,192.71,192.75,192.7,192.7,5579
2024-12-20 19:35:00,192.71,192.73,191.41,192.7097,90353
2024-12-20 19:30:00,192.74,192.75,192.7,192.7394,962
2024-12-20 19:25:00,192.74,192.74,192.7,192.71,3853
2024-12-20 19:20:00,192.72,192.74,192.7,192.74,973
2024-12-20 19:15:00,192.61,192.77,192.61,192.75,3927
2024-12-20 19:10:00,192.6287,192.65,192.5,192.6,1936
2024-12-20 19:05:00,192.51,192.62,192.45,192.62,1024
2024-12-20 19:00:00,192.51,192.51,192.38,192.3832,319
2024-12-20 18:55:00,192.4983,192.57,192.35,192.51,1541
2024-12-20 18:50:00,192.4,192.5,192.39,192.45,847
2024-12-20 18:45:00,192.51,192.53,192.39,192.49,687
2024-12-20 18:40:00,192.51,192.6,192.35,192.52,2756
2024-12-20 18:35:00,192.5,192.6,192.3,192.57,812
2024-12-20 18:30:00,192.34,192.6,192.31,192.58,11038
2024-12-20 18:25:00,192.21,192.37,192.15,192.37,738
2024-12-20 18:20:00,192.2,192.21,192.0701,192.2,1857
2024-12-20 18:15:00,192.14,192.21,192.05,192.21,273
2024-12-20 18:10:00,192.34,192.37,192.1475,192.1475,2514
2024-12-20 18:05:00,192.37,192.37,191.41,192.34,537758
2024-12-20 18:00:00,192.08,192.37,192.05,192.18,1041
2024-12-20 17:55:00,191.95,192.35,191.93,192.06,11235
2024-12-20 17:50:00,191.75,191.95,191.63,191.93,1483
2024-12-20 17:45:00,191.61,191.77,191.6,191.75,1524
2024-12-20 17:40:00,191.62,191.65,191.41,191.65,58936
2024-12-20 17:35:00,191.64,191.65,191.51,191.6,527
2024-12-20 17:30:00,191.6462,191.6462,191.51,191.56,170
2024-12-20 17:25:00,191.5,191.66,191.49,191.56,3556
2024-12-20 17:20:00,191.59,191.7,191.41,191.5,10863
2024-12-20 17:15:00,191.64,191.68,160.995,191.5,6226
2024-12-20 17:10:00,191.62,191.7,165.6562,191.62,12724
2024-12-20 17:05:00,191.67,191.68,167.1185,189.9325,1947
2024-12-20 17:00:00,191.6701,191.83,191.6701,191.68,876
2024-12-20 16:55:00,191.78,191.8,166.9709,191.68,7864
2024-12-20 16:50:00,191.78,191.83,191.64,191.78,1729
2024-12-20 16:45:00,191.8288,191.83,191.63,191.8,2673
2024-12-20 16:40:00,191.58,191.82,191.4435,191.7,4627
2024-12-20 16:35:00,191.54,191.58,191.41,191.53,13957
2024-12-20 16:30:00,191.55,191.5599,191.34,191.49,7644
2024-12-20 16:25:00,191.71,191.72,191.55,191.55,6869
2024-12-20 16:20:00,191.74,191.809,191.41,191.65,44877
2024-12-20 16:15:00,191.41,191.95,191.41,191.93,42232
2024-12-20 16:10:00,191.48,191.54,191.3621,191.46,6235051
2024-12-20 16:05:00,191.95,191.98,191.41,191.54,4324316
2024-12-20 16:00:00,191.42,192.15,191.37,191.94,39574061
2024-12-20 15:55:00,191.18,191.65,190.82,191.42,2012823
