Timestamp,Open,High,Low,Close,Volume
2024-12-20 19:55:00,255.2,255.5,255.18,255.35,11744
2024-12-20 19:50:00,255.4,255.4,254.49,255.2,33690
2024-12-20 19:45:00,255.37,255.4,255.325,255.4,1002
2024-12-20 19:40:00,255.38,255.4,255.29,255.355,1321
2024-12-20 19:35:00,255.385,255.4,254.49,255.355,278831
2024-12-20 19:30:00,255.5,255.51,255.365,255.385,2383
2024-12-20 19:25:00,255.52,255.53,255.49,255.49,3573
2024-12-20 19:20:00,255.5,255.53,255.48,255.525,2176
2024-12-20 19:15:00,255.5,255.52,255.41,255.5,2575
2024-12-20 19:10:00,255.422,255.52,255.41,255.46,2101
2024-12-20 19:05:00,255.35,255.52,255.35,255.45,1175
2024-12-20 19:00:00,255.3,255.49,255.28,255.3501,1707
2024-12-20 18:55:00,255.485,255.485,255.3,255.31,3168
2024-12-20 18:50:00,255.52,255.53,255.39,255.45,2116
2024-12-20 18:45:00,255.53,255.54,254.49,255.52,233006
2024-12-20 18:40:00,255.56,255.57,255.45,255.5,5145
2024-12-20 18:35:00,255.475,255.5698,255.47,255.555,3671
2024-12-20 18:30:00,255.55,255.55,255.45,255.47,5002
2024-12-20 18:25:00,255.53,255.57,255.51,255.55,2577
2024-12-20 18:20:00,255.46,255.53,255.35,255.52,3597
2024-12-20 18:15:00,255.485,255.485,255.27,255.47,3746
2024-12-20 18:10:00,255.16,255.5,255.15,255.45,7643
2024-12-20 18:05:00,255.135,255.18,254.49,255.16,1181606
2024-12-20 18:00:00,255.08,255.1682,255.0013,255.11,3827
2024-12-20 17:55:00,254.995,255.09,254.93,255.08,6158
2024-12-20 17:50:00,254.95,254.9999,254.49,254.99,19409084
2024-12-20 17:45:00,254.93,254.99,254.9,254.92,5680
2024-12-20 17:40:00,254.94,254.99,254.49,254.99,101917
2024-12-20 17:35:00,255.09,255.16,254.91,254.96,11004
2024-12-20 17:30:00,254.97,255.1,254.97,255.04,4801
2024-12-20 17:25:00,254.95,255.0,254.91,254.99,2686
2024-12-20 17:20:00,254.98,255.039,254.49,254.95,391152
2024-12-20 17:15:00,254.93,254.99,216.7766,254.955,8948
2024-12-20 17:10:00,254.94,273.3768,219.4816,254.9967,24390
2024-12-20 17:05:00,254.92,254.95,212.581,254.91,9897
2024-12-20 17:00:00,254.925,254.95,231.4925,254.91,3694
2024-12-20 16:55:00,254.9,254.9591,219.1416,254.925,8498
2024-12-20 16:50:00,254.8506,254.97,254.8506,254.93,18738
2024-12-20 16:45:00,254.9,254.98,254.81,254.89,13757
2024-12-20 16:40:00,254.82,254.91,254.3,254.91,12451
2024-12-20 16:35:00,254.72,254.85,254.49,254.82,80026
2024-12-20 16:30:00,254.7,254.73,254.49,254.72,23208
2024-12-20 16:25:00,254.81,254.9,254.69,254.69,21198
2024-12-20 16:20:00,254.86,254.95,254.49,254.7524,87770
2024-12-20 16:15:00,254.49,254.91,249.79,254.86,60203
2024-12-20 16:10:00,254.87,254.88,254.4264,254.75,6467422
2024-12-20 16:05:00,254.8,255.06,253.68,254.49,8246192
